BHID,FROM,TO,X,Y,Z,P2O5,CAO,FE2O3,SIO2,AL2O3,MGO,TIO2,NB2O5,BAO,S,SRO,K2O,NA2O,MNO,CEO2,LA2O3,ND2O3,PR2O3,LOI,RCP,P2O5AP,LITO
DH-0001,155,158,667.7414,1912.199,256.5692,1.8,18.1,13,25.9,3,11.7,3.5,0.07,1.1,-,-,1.78,0.64,0.43,0.94,0.5,0.22,0.08,16.44,10.056,1.8,Bebedourito
DH-0001,158,161,667.5036,1912.293,253.5801,1.68,17.8,13.5,29.7,3.62,12.8,3.2,0.05,0.24,-,-,1.76,0.94,0.27,0.22,0.11,0.06,0.02,12.19,10.595,1.68,Bebedourito
DH-0001,161,164,667.2679,1912.387,250.5908,2.92,19.2,14.9,31.7,4.01,11.5,4.8,0.07,0.2,-,-,1.53,0.53,0.22,0.09,0.05,0.03,0.01,7.13,6.575,2.92,Bebedourito
DH-0001,164,167,667.0331,1912.482,247.6015,1.79,17.6,15,32.4,3.92,11.8,4.57,0.05,0.36,-,-,1.71,0.5,0.26,0.11,0.06,0.04,0.01,8.85,9.832,1.79,Bebedourito
DH-0001,167,168.75,666.8473,1912.557,245.235,2.06,17.5,14.4,35,3.99,12.5,4.12,0.05,0.27,-,-,1.87,0.63,0.25,0.07,0.03,0.03,0.01,7.61,8.495,2.06,Bebedourito
DH-0001,168.75,170.5,666.7104,1912.612,243.4912,1.96,18.8,13.3,30.8,2.06,11.7,3.99,0.09,0.37,-,-,2.68,0.74,0.3,0.21,0.12,0.06,0.02,10.49,9.592,1.96,Bebedourito
DH-0001,170.5,172.2,666.5754,1912.666,241.7724,1.53,18.4,13.7,32.2,1.99,12.3,3.46,0.08,0.6,-,-,2.61,0.87,0.31,0.16,0.09,0.04,0.01,10.01,12.026,1.53,Bebedourito
DH-0002,0,4.7,1373.246,2903.558,402.828,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Argilito
DH-0002,4.7,6.7,1373.246,2903.558,399.478,4.28,0.53,41.1,8.77,20.1,0.38,10.4,0.19,0.84,-,-,0.04,0.1,0.3,0.46,0.23,0.16,0.04,11.15,0.124,0.393,Argilito
DH-0002,6.7,7,1373.246,2903.558,398.328,7.01,1.09,41.1,7.52,15.9,0.3,10.4,0.22,0.81,-,-,0.04,0.1,0.58,0.81,0.43,0.26,0.08,10.86,0.155,0.807,Argilito
