BHID,FROM,TO,X,Y,Z,P2O5,CAO,FE2O3,SIO2,AL2O3,MGO,TIO2,NB2O5,BAO,S,SRO,K2O,NA2O,MNO,CEO2,LA2O3,ND2O3,PR2O3,LOI,RCP,P2O5AP,LITO
DH-0298,35,40,2931.545,2959.765,308.06,6.24,0.64,58.3,0.64,5.11,1.13,6.84,2.27,1.33,-,1.14,0.06,0.14,5.14,0.91,0.4,0.43,-,8.97,0.103,0.474,Carbonatito
DH-0298,40,45,2931.545,2959.765,303.06,5.16,0.94,62,0.58,4.41,1.85,10.5,0.59,0.25,-,1.32,0.05,0.1,2.13,0.55,0.28,0.29,-,5.31,0.182,0.696,Carbonatito
DH-0298,45,48.3,2931.545,2959.765,298.91,7.01,1.34,55.7,1.32,6.52,1.81,11.3,0.76,0.76,-,1.54,0.05,0.1,2.33,0.56,0.28,0.25,-,6.59,0.191,0.993,Carbonatito
DH-0298,48.3,51.7,2931.545,2959.765,295.56,19.05,23.5,34.7,3.05,2.42,2.73,5.21,0.57,0.34,-,0.72,0.04,0.1,1.17,0.38,0.16,0.18,-,3.73,1.234,17.407,Carbonatito
DH-0298,51.7,56.05,2931.545,2959.765,291.685,4.22,27.1,9.55,9.26,0.96,15.2,1.92,0.26,0.12,-,0.91,1.96,0.1,0.31,0.14,0.06,0.1,-,25.76,6.422,4.22,Carbonatito
DH-0299,0,2.5,3020.947,2960.105,336.92,2.09,0.29,20.8,15.7,31.8,0.2,8.88,0.19,0.3,-,0.33,0.07,0.1,0.13,0.26,0.12,0.1,-,17.75,0.139,0.215,Solo
DH-0299,2.5,5.75,3020.947,2960.105,334.045,2.1,0.26,20,20.1,31.6,0.12,7.78,0.16,0.31,-,0.35,0.07,0.1,0.12,0.24,0.11,0.1,-,15.54,0.124,0.193,Argilito
DH-0299,5.75,10,3020.947,2960.105,330.295,4.78,0.85,35.1,15.7,20.3,0.35,7.02,0.24,0.6,-,0.67,0.09,0.1,0.21,0.35,0.16,0.12,-,12.26,0.178,0.63,Canga
DH-0299,10,15,3020.947,2960.105,325.67,5.78,1.1,31.8,14.9,20.3,0.51,8.31,0.28,1.01,-,0.92,0.09,0.1,0.52,0.4,0.19,0.15,-,11.84,0.19,0.815,Canga
DH-0299,15,19.65,3020.947,2960.105,320.845,5.33,0.94,48.6,8.21,13.2,1.27,8.29,0.29,1.11,-,1.03,0.07,0.1,1.02,0.41,0.16,0.14,-,8.85,0.176,0.696,Canga
DH-0299,19.65,25,3020.947,2960.105,315.845,8.04,0.88,53.8,1.59,9.61,1.03,8.22,0.38,2.29,-,2,0.04,0.1,2.02,0.51,0.21,0.19,-,8.22,0.109,0.652,Carbonatito
DH-0299,25,29.85,3020.947,2960.105,310.745,6.82,0.85,54.1,2.35,7.9,1.22,8.46,0.7,1.46,-,1.52,0.03,0.1,2.06,0.97,0.47,0.4,-,8.32,0.125,0.63,Carbonatito
DH-0299,29.85,33.65,3020.947,2960.105,306.42,5.43,0.63,60.2,1.32,6.01,0.72,2.72,2.19,1.59,-,0.92,0.05,0.13,6.05,1.17,0.54,0.46,-,10.4,0.116,0.467,Carbonatito
DH-0299,33.65,40,3020.947,2960.105,301.345,4.62,0.65,59.9,6.28,4.78,1.58,7.95,0.66,0.67,-,1.08,0.04,0.1,2.06,0.69,0.29,0.29,-,6.16,0.141,0.481,Carbonatito
DH-0299,40,45,3020.947,2960.105,295.67,4.14,0.6,58.5,12.9,4.16,1.42,7.27,0.47,0.44,-,0.93,0.04,0.1,1.72,0.49,0.2,0.21,-,5.66,0.145,0.444,Carbonatito
DH-0299,45,50,3020.947,2960.105,290.67,4.6,0.64,57.8,10.4,4.27,0.96,6.09,1.37,0.72,-,0.9,0.04,0.1,2.81,0.71,0.3,0.32,-,6.82,0.139,0.474,Carbonatito
DH-0299,50,54.15,3020.947,2960.105,286.095,3.48,0.42,68.9,3.51,2.64,1.6,7.38,0.83,0.74,-,0.43,0.04,0.1,3.04,0.57,0.22,0.23,-,4.89,0.121,0.311,Carbonatito
DH-0299,54.15,57,3020.947,2960.105,282.595,9.87,10.5,50.4,5.17,3.38,3.43,6.53,0.43,0.38,-,0.49,0.04,0.1,1.87,0.41,0.15,0.2,-,4.33,1.064,7.778,Carbonatito
DH-0299,57,60.75,3020.947,2960.105,279.295,33.05,44.8,11.3,1.01,0.62,0.81,1.09,0.22,0.22,-,0.56,0.03,0.1,0.42,0.18,0.07,0.1,-,3.44,1.356,33.05,Foscrete
DH-0299,60.75,63.25,3020.947,2960.105,276.17,6.8,21.4,28.5,11.4,1.36,11.5,2.84,0.09,0.09,-,0.36,0.28,0.1,0.51,0.16,0.06,0.1,-,13.95,3.147,6.8,Carbonatito
DH-0299,63.25,66.75,3020.947,2960.105,273.17,2.89,37.2,8.61,4.8,0.36,8.88,0.94,0.09,0.18,-,1.27,1.01,0.1,0.26,0.11,0.05,0.1,-,32.36,12.872,2.89,Carbonatito
DH-0300,0,3.35,2000.1544,2010.123,314.7057,6.55,3.33,40.5,5.9,10,0.86,13.5,0.29,0.51,-,0.74,0.04,0.1,0.84,0.48,0.25,0.2,-,13.99,0.508,2.467,Turfa
DH-0300,3.35,7.5,2000.1116,2010.01,310.9576,3.4,0.62,7.98,31.1,30.8,0.16,10.3,0.18,0.58,-,0.59,0.19,0.1,0.09,0.23,0.12,0.11,-,13.32,0.182,0.459,Argilito
DH-0300,7.5,15,2000.0574,2009.817,305.1361,2.96,0.44,14.5,31.3,29.1,0.11,7.59,0.11,0.49,-,0.52,0.22,0.1,0.1,0.19,0.09,0.1,-,12.52,0.149,0.326,Argilito
DH-0300,15,22.5,1999.9805,2009.553,297.6412,2.64,0.4,13.4,32.2,29.2,0.12,7.3,0.12,0.48,-,0.51,0.25,0.1,0.09,0.18,0.08,0.1,-,12.4,0.152,0.296,Argilito
DH-0300,22.5,30,1999.8947,2009.284,290.1465,2.62,0.4,13.5,32.3,29.4,0.12,7.21,0.11,0.45,-,0.49,0.27,0.1,0.1,0.17,0.07,0.1,-,12.42,0.153,0.296,Argilito
DH-0300,30,37.5,1999.7952,2009.013,282.652,2.6,0.39,13.2,32.6,29.7,0.1,7.09,0.11,0.45,-,0.48,0.29,0.1,0.1,0.18,0.07,0.1,-,12.34,0.15,0.289,Argilito
DH-0300,37.5,45,1999.701,2008.74,275.1576,2.52,0.39,13.1,32.4,30,0.1,6.78,0.1,0.43,-,0.47,0.3,0.1,0.1,0.16,0.06,0.1,-,12.59,0.155,0.289,Argilito
DH-0300,45,52.5,1999.6106,2008.45,267.6638,2.45,0.38,13.2,33.2,30.5,0.12,6.85,0.1,0.44,-,0.46,0.31,0.1,0.11,0.18,0.08,0.1,-,12.43,0.155,0.281,Argilito
DH-0300,52.5,60,1999.5075,2008.151,260.1705,2.52,0.4,13.4,32.4,30.1,0.1,6.91,0.1,0.43,-,0.44,0.31,0.1,0.1,0.17,0.09,0.1,-,12.43,0.159,0.296,Argilito
DH-0300,60,67.5,1999.3946,2007.856,252.6771,2.47,0.43,13,32.6,30.2,0.11,6.66,0.1,0.41,-,0.45,0.35,0.1,0.1,0.16,0.07,0.1,-,12.56,0.174,0.319,Argilito
DH-0300,67.5,75,1999.2551,2007.567,245.1841,2.39,0.44,12.7,33.4,30.6,0.12,6.36,0.08,0.41,-,0.44,0.39,0.1,0.11,0.15,0.07,0.1,-,12.53,0.184,0.326,Argilito
DH-0300,75,82.5,1999.0989,2007.281,237.6911,2.42,0.44,12.6,33.9,30.6,0.1,6.2,0.08,0.4,-,0.47,0.42,0.1,0.11,0.14,0.06,0.1,-,12.62,0.182,0.326,Argilito
DH-0300,82.5,90,1998.9195,2007.006,230.1983,2.53,0.48,12.1,34.1,30.4,0.1,5.5,0.07,0.44,-,0.52,0.48,0.1,0.35,0.14,0.06,0.1,-,12.56,0.19,0.356,Argilito
DH-0300,90,97.5,1998.7177,2006.75,222.7055,2.53,0.5,11.7,34.6,30.7,0.12,5.59,0.08,0.38,-,0.52,0.53,0.1,0.16,0.13,0.05,0.1,-,12.41,0.198,0.37,Argilito
DH-0300,97.5,105,1998.5204,2006.54,215.211,2.68,0.71,11.1,35.4,30.2,0.12,5.63,0.09,0.4,-,0.54,0.51,0.1,0.23,0.13,0.05,0.1,-,12.14,0.265,0.526,Argilito
DH-0300,105,112.5,1998.3328,2006.409,207.7145,2.71,0.52,12.1,35.1,30.1,0.1,5.46,0.07,0.4,-,0.58,0.6,0.1,0.27,0.13,0.05,0.1,-,12.17,0.192,0.385,Argilito
DH-0300,112.5,120,1998.1818,2006.354,200.2163,2.63,0.56,10.9,35.8,29.7,0.12,5.82,0.07,0.38,-,0.56,0.58,0.1,0.12,0.13,0.06,0.1,-,12.1,0.213,0.415,Argilito
DH-0300,120,126.45,1998.0623,2006.351,193.2423,2.35,0.5,10.8,37.9,29.6,0.13,5.72,0.07,0.38,-,0.49,0.64,0.1,0.08,0.13,0.07,0.1,-,11.89,0.213,0.37,Argilito
DH-0300,126.45,130,1997.9845,2006.365,188.243,2.19,0.44,12.1,38.1,27.9,0.13,5.44,0.07,0.41,-,0.43,0.68,0.1,0.1,0.12,0.06,0.1,-,11.43,0.201,0.326,Argilito
DH-0300,130,137.5,1997.8923,2006.38,182.7188,2.3,0.43,12.8,39.7,26.1,0.16,5.29,0.06,0.39,-,0.42,0.73,0.1,0.06,0.13,0.06,0.1,-,11.07,0.187,0.319,Argilito
DH-0300,137.5,144.35,1997.7559,2006.392,175.5451,2.63,0.64,9.12,41.5,26.9,0.21,6.03,0.08,0.45,-,0.51,0.83,0.1,0.06,0.14,0.06,0.1,-,10.89,0.243,0.474,Argilito
DH-0300,144.35,148,1997.635,2006.395,170.2965,4.71,0.87,29,23.5,18.6,0.29,6.89,0.15,0.75,-,0.86,0.31,0.1,0.12,0.28,0.12,0.12,-,11.38,0.185,0.644,Canga
DH-0300,148,152.05,1997.53,2006.38,166.448,5.26,0.95,32.8,24.2,13.5,0.39,8.63,0.21,0.82,-,1.01,0.12,0.1,0.2,0.34,0.15,0.14,-,10,0.181,0.704,Canga
DH-0300,152.05,155,1997.4129,2006.36,162.95,3.87,1.12,35.9,41.8,5.79,0.36,2.87,0.11,0.51,-,0.6,0.04,0.1,0.15,0.22,0.1,0.11,-,6.91,0.289,0.83,Silexito
DH-0300,155,158,1997.3014,2006.326,159.9773,5.1,6.03,14.1,69.4,1.78,0.29,0.45,0.06,0.15,-,0.2,0.04,0.1,0.11,0.27,0.15,0.1,-,2.71,1.182,4.467,Silexito
DH-0300,158,161.15,1997.1766,2006.291,156.905,6.06,3.21,30.8,39.7,8.08,1.08,2.08,0.18,0.75,-,1.17,0.11,0.1,0.22,0.34,0.14,0.14,-,5.08,0.53,2.378,Carbonatito
DH-0300,161.15,165,1997.0302,2006.24,153.4085,5.37,5.98,8.86,73.8,0.58,0.22,0.21,0.08,0.21,-,0.17,0.02,0.1,0.12,0.86,0.73,0.21,-,1.65,1.114,4.43,Foscrete
DH-0300,165,170,1996.8315,2006.195,148.9882,18.71,24.2,29,21.5,0.34,1.44,0.68,0.14,0.05,-,0.33,0.01,0.1,0.25,0.29,0.1,0.13,-,0.98,1.293,17.926,Foscrete
DH-0300,170,175,1996.6086,2006.149,143.9934,22.42,29.2,38.5,2.3,0.36,2.49,0.99,0.05,0.03,-,0.29,0.01,0.1,0.39,0.24,0.07,0.1,-,0.24,1.302,21.63,Foscrete
DH-0300,175,180,1996.3941,2006.111,138.9981,26.02,35.1,27.3,5.87,0.27,1.48,0.64,0.09,0.01,-,0.37,0.01,0.14,0.26,0.26,0.1,0.12,-,0.7,1.349,26,Foscrete
DH-0300,180,185,1996.1729,2006.09,134.0031,23.31,30.2,34,6.14,0.17,1.49,0.75,0.1,0.03,-,0.32,0.01,0.1,0.28,0.22,0.06,0.1,-,0.64,1.296,22.37,Foscrete
DH-0300,185,188.55,1995.9805,2006.085,129.7324,23.92,32.4,33.7,3.74,0.25,1.47,0.67,0.09,0.01,-,0.34,0.01,0.16,0.31,0.24,0.1,0.1,-,0.78,1.355,23.92,Foscrete
DH-0300,188.55,195,1995.7531,2006.091,124.7376,25.4,34.1,31,3.01,0.21,1.53,0.69,0.13,0.02,-,0.39,0.01,0.19,0.32,0.25,0.12,0.13,-,0.52,1.343,25.259,Foscrete
DH-0300,195,200,1995.4853,2006.121,119.019,22.87,30.4,30,8.78,0.95,1.21,1.87,0.08,0.05,-,0.38,0.01,0.17,0.36,0.44,0.23,0.17,-,1.65,1.329,22.519,Foscrete
DH-0300,200,202.7,1995.3008,2006.155,115.1736,14.38,18.6,16.7,46.6,0.26,0.68,0.79,0.05,0.04,-,0.23,0.02,0.1,0.2,0.23,0.1,0.11,-,1.28,1.293,13.778,Foscrete
DH-0300,202.7,203.2,1995.2256,2006.174,113.5755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não Recuperado
DH-0300,203.2,210,1995.0531,2006.216,109.9298,26.17,34.1,26.2,7.91,0.23,1.16,0.69,0.06,0.09,-,0.42,0.01,0.13,0.42,0.35,0.15,0.16,-,0.95,1.303,25.259,Carbonatito
DH-0300,210,215,1994.7673,2006.288,104.0372,26.84,34.4,26.2,4.52,0.44,0.92,0.7,0.11,0.18,-,0.47,0.01,0.15,0.64,0.54,0.23,0.22,-,1.44,1.282,25.481,Carbonatito
DH-0300,215,217.9,1994.5701,2006.343,100.0925,23.77,31.1,24,13.8,0.46,1.03,0.91,0.05,0.11,-,0.37,0.01,0.1,0.5,0.32,0.13,0.15,-,1.53,1.308,23.037,Carbonatito
DH-0300,217.9,225,1994.3244,2006.416,95.0991,12.99,16.6,36.7,17.9,2.4,1.75,3.99,0.25,0.23,-,0.31,0.05,0.11,1.03,0.43,0.18,0.2,-,3.57,1.278,12.296,Carbonatito
DH-0300,225,230,1994.0449,2006.506,89.0562,9.94,13,31.7,23,3.75,3,5.9,0.2,0.19,-,0.29,0.72,0.1,1,0.4,0.18,0.18,-,4.61,1.308,9.63,Carbonatito
DH-0300,230,235,1993.8244,2006.574,84.0616,15.15,19.2,25.5,19.6,3.92,3.07,3.77,0.25,0.22,-,0.5,0.54,0.1,0.89,0.45,0.19,0.21,-,5.5,1.267,14.222,Carbonatito
DH-0300,235,240,1993.6054,2006.648,79.0669,14.64,19.6,33.2,11.7,3.16,1.55,7.11,0.23,0.15,-,0.4,0.14,0.1,0.75,0.35,0.16,0.16,-,4.2,1.339,14.519,Carbonatito
DH-0300,240,245,1993.3831,2006.719,74.0724,17.6,22.8,26.1,14.8,3.35,1.34,5.49,0.28,0.16,-,0.51,0.14,0.17,0.78,0.33,0.12,0.15,-,4.65,1.295,16.889,Carbonatito
DH-0300,245,250,1993.1555,2006.803,69.0783,15.02,19.9,27.5,19.3,3.4,1.12,5.15,0.3,0.13,-,0.39,0.11,0.13,0.67,0.3,0.11,0.13,-,4.3,1.325,14.741,Carbonatito
DH-0300,250,256.6,1992.8813,2006.921,63.286,18.22,22.6,29.5,12.1,2.26,0.65,5.55,0.18,0.26,-,0.45,0.07,0.11,0.9,0.48,0.21,0.22,-,4.4,1.24,16.741,Carbonatito
DH-0300,256.6,257.6,1992.6977,2007.015,59.4916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não Recuperado
DH-0300,257.6,261.2,1992.5952,2007.07,57.1945,23.36,30.3,22.7,12,0.85,0.94,2.41,0.23,0.42,-,0.5,0.18,0.12,0.68,0.49,0.22,0.21,-,3.02,1.297,22.444,Carbonatito
DH-0300,261.2,261.9,1992.4939,2007.122,55.0475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não Recuperado
DH-0300,261.9,266.8,1992.3733,2007.192,52.251,20.92,26.6,25.2,16.8,0.52,0.59,1.79,0.07,0.28,-,0.41,0.08,0.12,0.85,0.59,0.27,0.27,-,2.89,1.272,19.704,Carbonatito
DH-0300,266.8,270,1992.201,2007.286,48.2058,32.09,43.6,15.9,1.09,0.13,0.71,0.95,0.25,0.13,-,0.46,0.04,0.11,0.27,0.27,0.11,0.14,-,3.11,1.359,32.09,Foscrete
DH-0300,270,275,1992.0359,2007.393,44.1105,33.89,46.4,10.5,1.21,0.1,0.5,0.33,0.07,0.21,-,0.6,0.03,0.1,0.38,0.4,0.19,0.17,-,3.35,1.369,33.89,Foscrete
DH-0300,275,280,1991.8397,2007.518,39.1159,33.43,47.6,8.63,1.88,0.13,1.04,0.5,0.08,0.17,-,0.44,0.02,0.1,0.27,0.26,0.12,0.13,-,4.35,1.424,33.43,Foscrete
DH-0300,280,285,1991.6614,2007.629,34.1204,34.45,47.9,9.59,0.91,0.12,0.92,0.26,0.05,0.18,-,0.43,0.02,0.11,0.29,0.27,0.11,0.12,-,3.97,1.39,34.45,Foscrete
DH-0300,285,292.35,1991.4435,2007.765,27.9507,31.22,43.1,12.3,3.22,0.25,1.34,0.56,0.05,0.19,-,0.45,0.05,0.1,0.42,0.38,0.16,0.18,-,4.48,1.381,31.22,Foscrete
DH-0300,292.35,295.5,1991.2582,2007.88,22.7052,2.91,48.3,4.23,2.5,0.1,2.14,0.21,0.05,0.53,-,1.35,0.18,0.1,0.14,0.16,0.06,0.1,-,36.98,16.598,2.91,Carbonatito
DH-0301,0,6.9,2632.092,2955.418,349.5,1.85,0.22,18.9,17.7,35.1,0.1,7.81,0.13,0.26,-,0.27,0.04,0.1,0.1,0.22,0.1,0.1,-,17.66,0.119,0.163,Argilito
DH-0301,6.9,10,2632.092,2955.418,344.5,2.11,0.33,16.9,29.4,30.8,0.19,6.1,0.12,0.37,-,0.38,0.08,0.1,0.11,0.19,0.08,0.1,-,12.97,0.156,0.244,Argilito
DH-0301,10,15,2632.092,2955.418,340.45,2.12,0.32,15.2,31.3,31.4,0.1,5.77,0.11,0.39,-,0.39,0.1,0.1,0.09,0.18,0.08,0.1,-,13.01,0.151,0.237,Argilito
DH-0301,15,20,2632.092,2955.418,335.45,2.14,0.32,15.2,31.2,31.4,0.1,5.83,0.1,0.4,-,0.38,0.12,0.1,0.1,0.17,0.09,0.1,-,12.93,0.15,0.237,Argilito
DH-0301,20,24.9,2632.092,2955.418,330.5,2.23,0.35,15.5,31.3,31,0.1,5.89,0.11,0.42,-,0.4,0.15,0.1,0.1,0.18,0.09,0.1,-,12.85,0.157,0.259,Argilito
DH-0301,24.9,30,2632.092,2955.418,325.5,2.55,0.4,15.8,30.6,30.2,0.14,6.46,0.12,0.5,-,0.43,0.22,0.1,0.12,0.2,0.09,0.1,-,12.54,0.157,0.296,Argilito
DH-0301,30,34.4,2632.092,2955.418,320.75,3.08,0.52,17,28,28,0.24,7.19,0.15,0.6,-,0.5,0.25,0.1,0.14,0.24,0.11,0.12,-,12.36,0.169,0.385,Argilito
DH-0301,34.4,40,2632.092,2955.418,315.75,3.83,0.7,20.2,25.8,27.3,0.31,8.04,0.19,0.74,-,0.59,0.22,0.1,0.19,0.3,0.14,0.14,-,12.24,0.183,0.519,Canga
DH-0301,40,45,2632.092,2955.418,310.45,5.19,1.12,46.5,11.9,15.8,0.47,5.77,0.23,0.91,-,0.61,0.06,0.1,0.21,0.37,0.17,0.15,-,11.61,0.216,0.83,Canga
DH-0301,45,50,2632.092,2955.418,305.45,8.91,0.99,37.5,9.55,17.4,0.63,6.54,0.51,3.26,-,1.44,0.07,0.1,1.19,0.55,0.26,0.23,-,11.73,0.111,0.733,Canga
DH-0301,50,53.85,2632.092,2955.418,301.025,7.31,0.91,37,12.8,18.6,0.36,5.73,0.36,2.13,-,1.13,0.1,0.1,0.21,0.47,0.23,0.2,-,12.17,0.124,0.674,Canga
DH-0301,53.85,60,2632.092,2955.418,296.025,9.57,0.81,45.4,4.58,12.7,0.52,5.73,0.64,4.06,-,1.57,0.05,0.1,1.69,0.64,0.3,0.28,-,11.04,0.085,0.6,Bebedourito
DH-0301,60,63.7,2632.092,2955.418,291.1,5.61,0.52,56.6,10.5,5.57,0.89,4.74,0.68,1.81,-,0.93,0.02,0.1,1.66,0.72,0.33,0.33,-,8.41,0.093,0.385,Bebedourito
DH-0301,63.7,66.8,2632.092,2955.418,287.7,4.05,0.32,62,4.22,1.19,0.41,0.71,2.87,1.5,-,0.31,0.09,0.1,9.51,1.55,0.72,0.76,-,10.11,0.079,0.237,Carbonatito
DH-0301,66.8,70,2632.092,2955.418,284.55,19.17,22,35.7,1.98,0.79,0.32,0.42,1.56,1.01,-,0.95,0.01,0.11,5.72,0.98,0.43,0.48,-,6.53,1.148,16.296,Carbonatito
DH-0301,70,75,2632.092,2955.418,280.45,26.87,32.8,22.5,2,0.58,0.28,0.28,0.85,0.69,-,1.09,0.01,0.15,3.52,0.64,0.29,0.31,-,4.42,1.221,24.296,Carbonatito
DH-0301,75,80,2632.092,2955.418,275.45,30.48,37.8,18.1,1.21,0.39,0.29,0.21,0.62,0.58,-,1.08,0.01,0.15,2.56,0.68,0.29,0.32,-,3.28,1.24,28,Carbonatito
DH-0301,80,85.65,2632.092,2955.418,270.125,30.18,37.8,18.9,0.95,0.49,0.38,0.75,0.68,0.56,-,1.1,0.02,0.17,2.01,0.53,0.22,0.25,-,3.11,1.252,28,Carbonatito
DH-0301,85.65,88.2,2632.092,2955.418,266.025,29.64,37.4,18.3,0.44,1.43,0.57,2.72,0.34,0.99,-,0.83,0.01,0.15,1.23,0.35,0.15,0.17,-,3.5,1.262,27.704,Carbonatito
DH-0301,88.2,94,2632.092,2955.418,261.85,36,50.5,4.63,0.48,0.34,0.15,0.1,0.21,0.39,-,0.64,0.01,0.1,0.8,0.21,0.08,0.1,-,2.96,1.403,36,Foscrete
DH-0301,94,97.05,2632.092,2955.418,257.425,36,49.6,5.51,0.31,0.14,0.29,0.12,0.18,0.33,-,0.62,0.01,0.1,0.7,0.32,0.15,0.15,-,3.27,1.378,36,Foscrete
DH-0301,97.05,100,2632.092,2955.418,254.425,9.12,25.1,17.3,16.2,0.74,10.3,1.66,0.14,0.1,-,0.54,0.09,0.1,0.57,0.17,0.06,0.1,-,17.41,2.752,9.12,Carbonatito
DH-0301,100,105,2632.092,2955.418,250.45,3.47,22.6,30.1,11.9,0.78,10.3,2.86,0.07,0.09,-,0.3,0.07,0.1,0.61,0.14,0.04,0.1,-,17.06,6.513,3.47,Carbonatito
DH-0301,105,110.8,2632.092,2955.418,245.05,2.99,19.8,25.6,11.2,0.64,14.5,2.46,0.08,0.1,-,0.51,0.37,0.1,0.57,0.16,0.06,0.1,-,20.06,6.622,2.99,Carbonatito
DH-0301,110.8,114.95,2632.092,2955.418,240.075,5.08,18.2,17,15.2,0.88,19.7,1.32,0.1,0.18,-,0.6,2.2,0.1,0.41,0.13,0.04,0.1,-,14.88,3.583,5.08,Carbonatito
DH-0302,0,7.5,2932.715,3057.292,346.39,1.78,0.22,19.2,19.3,34.2,0.12,6.92,0.13,0.28,-,0.28,0.05,0.1,0.11,0.24,0.11,0.11,-,17.24,0.124,0.163,Argilito
DH-0302,7.5,14,2932.715,3057.292,339.39,2.21,0.27,16.8,29.5,30.7,0.14,6.11,0.12,0.4,-,0.41,0.07,0.1,0.1,0.2,0.09,0.1,-,13.15,0.122,0.2,Argilito
DH-0302,14,20,2932.715,3057.292,333.14,2.17,0.27,15.9,30.7,30.9,0.1,5.64,0.11,0.39,-,0.4,0.08,0.1,0.1,0.2,0.09,0.1,-,13.09,0.124,0.2,Argilito
DH-0302,20,27.5,2932.715,3057.292,326.39,2.18,0.29,15.5,31.4,31.2,0.1,5.55,0.11,0.4,-,0.4,0.1,0.1,0.1,0.21,0.08,0.1,-,13.32,0.133,0.215,Argilito
DH-0302,27.5,35,2932.715,3057.292,318.89,2.16,0.27,15.6,31.4,31.3,0.12,5.58,0.1,0.39,-,0.39,0.13,0.1,0.1,0.2,0.09,0.1,-,13.16,0.125,0.2,Argilito
DH-0302,35,42.5,2932.715,3057.292,311.39,2.21,0.31,16.2,31,30.7,0.14,5.62,0.11,0.41,-,0.39,0.15,0.1,0.11,0.21,0.08,0.1,-,12.96,0.14,0.23,Argilito
DH-0302,42.5,50,2932.715,3057.292,303.89,2.57,0.37,16.9,29.9,29.4,0.18,6.53,0.13,0.46,-,0.42,0.2,0.1,0.13,0.24,0.1,0.1,-,12.81,0.144,0.274,Argilito
DH-0302,50,55.9,2932.715,3057.292,297.19,3.25,0.56,19.4,26.8,27.8,0.35,7.74,0.18,0.59,-,0.52,0.2,0.1,0.17,0.31,0.14,0.13,-,12.48,0.172,0.415,Argilito
DH-0302,55.9,60,2932.715,3057.292,292.19,3.75,0.57,42.6,14.3,17.8,0.67,7.47,0.2,0.54,-,0.49,0.09,0.1,0.3,0.37,0.15,0.16,-,10.96,0.152,0.422,Canga
DH-0302,60,66.25,2932.715,3057.292,287.015,6.62,0.8,54.4,5.78,11.6,1.33,6.46,0.41,1.48,-,1.28,0.04,0.1,0.61,0.73,0.32,0.31,-,8.3,0.121,0.593,Canga
DH-0302,66.25,70,2932.715,3057.292,282.015,8.25,0.66,53.1,3.16,9.76,0.89,3.63,0.38,3.5,-,1.49,0.02,0.1,4.4,1.36,0.64,0.6,-,9.08,0.08,0.489,Carbonatito
DH-0302,70,75,2932.715,3057.292,277.64,5.16,0.43,61.9,5.67,3.72,0.58,1.84,0.94,1.35,-,0.58,0.02,0.1,5.23,2.19,1.13,0.94,-,9.3,0.083,0.319,Carbonatito
DH-0302,75,80,2932.715,3057.292,272.64,4.02,0.29,63.8,7.38,2.07,0.52,1.29,0.72,1.5,-,0.28,0.01,0.1,6.42,1.84,0.94,0.81,-,8.9,0.072,0.215,Carbonatito
DH-0302,80,85.45,2932.715,3057.292,267.415,4.01,0.3,40.7,35.2,0.55,0.43,0.78,0.55,1.36,-,0.18,0.01,0.1,5.11,3.01,1.46,1.3,-,5.8,0.075,0.222,Carbonatito
DH-0302,85.45,90,2932.715,3057.292,262.415,4.23,0.32,51.8,15,2.43,1.01,5.94,0.44,2.63,-,0.26,0.02,0.1,6.01,1.48,0.72,0.67,-,6.24,0.076,0.237,Carbonatito
DH-0302,90,96.85,2932.715,3057.292,256.715,6.18,0.65,57.7,4.51,4.33,0.99,6.64,0.68,2.1,-,0.82,0.01,0.1,4.04,1.09,0.53,0.46,-,8.18,0.105,0.481,Carbonatito
DH-0302,96.85,100,2932.715,3057.292,251.715,32.79,43.4,11.6,0.59,0.98,0.37,1.01,0.12,0.65,-,0.6,0.01,0.1,1.09,0.19,0.09,0.1,-,4.81,1.324,32.148,Foscrete
DH-0302,100,105,2932.715,3057.292,247.64,35.12,48.4,5.94,0.38,0.15,0.31,0.1,0.07,0.32,-,0.51,0.01,0.12,0.83,0.35,0.18,0.16,-,3.68,1.378,35.12,Foscrete
DH-0302,105,110,2932.715,3057.292,242.64,36,49.8,5.73,0.22,0.12,0.33,0.1,0.06,0.24,-,0.67,0.01,0.35,0.6,0.28,0.12,0.14,-,3.37,1.383,36,Foscrete
DH-0302,110,112.5,2932.715,3057.292,238.89,36,51.5,3.93,0.25,0.1,0.2,0.1,0.05,0.17,-,0.66,0.01,0.29,0.25,0.22,0.09,0.1,-,3.75,1.431,36,Foscrete
DH-0302,112.5,115.6,2932.715,3057.292,236.09,1.91,35.5,1.97,0.4,0.1,14.6,0.1,0.05,0.73,-,1.45,0.13,0.1,0.33,0.1,0.03,0.1,-,41.78,18.586,1.91,Carbonatito
DH-0303,0,7.5,3030.848,3157.785,343.66,1.29,0.17,19.5,16.2,36.9,0.1,7.17,0.1,0.19,-,0.17,0.04,0.1,0.08,0.21,0.1,0.1,-,18.8,0.132,0.126,Argilito
DH-0303,7.5,12.55,3030.848,3157.785,337.385,1.74,0.22,18.8,26.5,31.7,0.11,6.68,0.13,0.34,-,0.3,0.05,0.1,0.11,0.22,0.12,0.1,-,13.53,0.126,0.163,Argilito
